"txid","refid","time","type","aclass","asset","amount","fee","balance"
"LR4HPL-AWV6Q-5U4HYU","LAOHY2H-DRO2K-GMTZ3P","2019-12-08 07:11:43","transfer","currency","XXBT",0.0000000220,0.0000000000,0.0000066020
"","QCC4MRX-72C5TN-UA6NH2","2020-02-17 09:41:06","deposit","currency","ZEUR",10.0000,0.0000,""
"LZWLJV-SRQB7-RH2P6S","QCC4MRX-72C5TN-UA6NH2","2020-02-17 09:51:58","deposit","currency","ZEUR",10.0000,0.0000,10.0000
"","QCCEWNR-3C6BAV-2UBFDS","2020-02-24 10:42:09","deposit","currency","ZEUR",50.0000,0.0000,""
"LPLXUE-ZAAA2-SCBIGL","QCCEWNR-3C6BAV-2UBFDS","2020-02-24 10:44:15","deposit","currency","ZEUR",50.0000,0.0000,60.0000
"LYBVPE-PRQFE-NITPYX","TZM756-U25AE-B66I77","2020-02-26 01:24:14","trade","currency","ZEUR",-59.9042,0.0958,0.0000
"LNMQ4E-QNML7-4XDRZN","TZM756-U25AE-B66I77","2020-02-26 01:24:14","trade","currency","XXBT",0.0070475500,0.0000000100,0.0070541420
"","QCCI7MS-ER6YKL-JLIHM2","2020-03-03 10:17:26","deposit","currency","ZEUR",250.0000,0.0000,""
"LVWGMR-CAJG4-Q5IJHF","QCCI7MS-ER6YKL-JLIHM2","2020-03-04 10:30:29","deposit","currency","ZEUR",250.0000,0.0000,250.0000
"LTFRZU-FRJA5-5CH75T","TGEFZI-6XHTR-XBZTAZ","2020-03-08 14:51:18","trade","currency","ZEUR",-57.6675,0.0923,192.2402
"LMAJGW-22MZD-KSYJDZ","TGEFZI-6XHTR-XBZTAZ","2020-03-08 14:51:18","trade","currency","XLTC",1.1533493200,0.0000000000,1.7338173000
"L4JSNE-NIPUW-ZHYOIX","T6L3NW-BCZXT-G3YWXX","2020-03-08 15:33:57","trade","currency","ZEUR",-119.0687,0.1905,72.9810
"LLGCJ7-Y64JY-MJHZXI","T6L3NW-BCZXT-G3YWXX","2020-03-08 15:33:57","trade","currency","XXBT",0.0158758300,0.0000000000,0.0229299720
"LNS6XT-WNJTF-3LSTK6","TPQJ3B-Y3FLR-AJVSOI","2020-03-08 15:34:00","trade","currency","ZEUR",-62.5000,0.1000,10.3810
"LZM6SK-FGUPJ-XSO7U4","TPQJ3B-Y3FLR-AJVSOI","2020-03-08 15:34:00","trade","currency","XETH",0.3289473600,0.0000000000,0.3289473600
"LOJWDQ-THOUD-UM5BWQ","TSP4H3-4WAPM-IX6AD7","2020-03-08 16:15:08","trade","currency","ZEUR",-10.1945,0.0163,0.1702
"L4TAJZ-NBKUX-OPTJJT","TSP4H3-4WAPM-IX6AD7","2020-03-08 16:15:08","trade","currency","XLTC",0.2169034600,0.0000000000,1.9507207600
"","QCCUKW4-54GUA3-EJK7KE","2020-04-14 09:22:25","deposit","currency","ZEUR",100.0000,0.0000,""
